,price,rooms,area,location1,market,households_qty_per_location,rooms_per_households_qty,market_per_households_qty
1276,521582.0,1,39.12,Krzyki,primary,1802,0.05549389567147614,0.5477247502774695
1277,849000.0,3,64.5,Krzyki,secondary,1802,0.1664816870144284,0.5477247502774695
1278,679000.0,2,55.0,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1279,739005.0,2,57.8,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1280,490000.0,2,47.7,Psie Pole,secondary,1233,0.16220600162206003,0.6796431467964315
1281,539000.0,2,43.64,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1282,950000.0,3,70.0,Psie Pole,secondary,1233,0.24330900243309003,0.6796431467964315
1283,525000.0,3,45.0,Stare Miasto,secondary,1133,0.264783759929391,0.5710503089143866
1284,595000.0,3,67.0,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
1285,573805.0,3,45.67,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1286,597989.0,3,50.23,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
1287,496896.0,2,38.82,Psie Pole,primary,1233,0.16220600162206003,0.6796431467964315
1288,854148.0,3,57.56,Stare Miasto,primary,1133,0.264783759929391,0.5710503089143866
1289,849000.0,3,55.0,Śródmieście,secondary,804,0.3731343283582089,0.4092039800995025
1290,659000.0,3,70.0,Śródmieście,secondary,804,0.3731343283582089,0.4092039800995025
1291,663423.0,3,58.71,Fabryczna,primary,1211,0.2477291494632535,0.4624277456647399
1292,732501.0,3,63.42,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
1293,868300.0,4,74.2,Stare Miasto,primary,1133,0.353045013239188,0.5710503089143866
1294,569000.0,3,57.0,Psie Pole,secondary,1233,0.24330900243309003,0.6796431467964315
1295,655000.0,2,49.0,Psie Pole,secondary,1233,0.16220600162206003,0.6796431467964315
1296,799999.0,3,67.64,Krzyki,secondary,1802,0.1664816870144284,0.5477247502774695
1297,680900.0,2,77.58,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1298,509900.0,1,30.0,Śródmieście,secondary,804,0.12437810945273632,0.4092039800995025
1299,482395.0,2,35.4,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1300,489900.0,2,41.52,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1301,786000.0,4,84.0,Krzyki,secondary,1802,0.22197558268590456,0.5477247502774695
1302,509000.0,2,39.0,Psie Pole,primary,1233,0.16220600162206003,0.6796431467964315
1303,1230000.0,3,56.0,Stare Miasto,secondary,1133,0.264783759929391,0.5710503089143866
1304,720412.0,3,64.38,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1305,380000.0,2,55.0,Psie Pole,secondary,1233,0.16220600162206003,0.6796431467964315
1306,599000.0,3,61.12,Stare Miasto,secondary,1133,0.264783759929391,0.5710503089143866
1307,499900.0,2,66.87,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1308,475000.0,2,43.94,Fabryczna,secondary,1211,0.16515276630883566,0.4624277456647399
1309,800000.0,2,59.83,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1310,459000.0,2,41.8,Śródmieście,secondary,804,0.24875621890547264,0.4092039800995025
1311,619970.0,1,47.69,Fabryczna,primary,1211,0.08257638315441783,0.4624277456647399
1312,745000.0,2,65.0,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1313,673460.0,4,48.0,Psie Pole,primary,1233,0.32441200324412006,0.6796431467964315
1314,524000.0,4,69.0,Krzyki,primary,1802,0.22197558268590456,0.5477247502774695
1315,698000.0,2,53.0,Fabryczna,secondary,1211,0.16515276630883566,0.4624277456647399
1316,690000.0,3,77.0,Psie Pole,secondary,1233,0.24330900243309003,0.6796431467964315
1317,475000.0,3,51.0,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
1318,549000.0,2,39.27,Psie Pole,primary,1233,0.16220600162206003,0.6796431467964315
1319,525000.0,3,50.0,Śródmieście,secondary,804,0.3731343283582089,0.4092039800995025
1320,648660.0,3,56.92,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
