,price,rooms,area,location1,market
359,777000.0,3,55.0,Psie Pole,secondary
360,683998.0,2,37.0,Śródmieście,secondary
361,864041.0,1,50.64,Stare Miasto,primary
362,719420.0,1,55.34,Fabryczna,primary
363,1007000.0,3,67.0,Śródmieście,primary
364,950000.0,3,90.7,Krzyki,secondary
365,822127.0,4,68.19,Fabryczna,primary
366,542000.0,2,49.4,Psie Pole,secondary
367,690175.0,3,61.8,Fabryczna,primary
368,863436.0,4,75.74,Psie Pole,primary
369,484059.0,3,51.47,Krzyki,primary
370,747576.0,4,69.22,Psie Pole,primary
371,489000.0,2,36.0,Fabryczna,secondary
372,529680.0,2,44.14,Krzyki,primary
373,899000.0,3,64.0,Krzyki,secondary
374,999129.0,4,77.27,Stare Miasto,primary
375,599000.0,3,45.84,Krzyki,secondary
376,980000.0,3,68.98,Stare Miasto,secondary
377,619000.0,2,40.0,Psie Pole,secondary
378,659000.0,3,63.0,Śródmieście,secondary
379,832455.0,3,73.48,Stare Miasto,primary
380,564485.0,2,38.93,Psie Pole,primary
381,560000.0,2,65.35,Fabryczna,secondary
382,719999.0,3,60.01,Stare Miasto,secondary
383,999000.0,4,80.7,Fabryczna,secondary
384,985000.0,3,68.3,Śródmieście,secondary
385,799000.0,2,45.0,Śródmieście,secondary
386,440895.0,3,46.41,Krzyki,primary
387,735000.0,3,64.0,Fabryczna,secondary
388,999540.0,5,84.7,Krzyki,primary
389,790000.0,2,46.48,Krzyki,secondary
390,684006.0,3,58.74,Fabryczna,primary
391,563900.0,2,47.0,Psie Pole,primary
392,679000.0,4,66.0,Psie Pole,primary
393,947055.0,3,59.75,Śródmieście,primary
394,600000.0,3,68.2,Śródmieście,secondary
395,420000.0,2,40.0,Psie Pole,primary
396,1210277.0,4,79.42,Stare Miasto,primary
397,1198000.0,4,100.0,Śródmieście,secondary
398,727326.0,2,55.31,Fabryczna,primary
399,554900.0,2,51.5,Psie Pole,secondary
400,690000.0,3,45.7,Stare Miasto,secondary
401,502900.0,2,51.25,Fabryczna,primary
402,549000.0,2,44.08,Psie Pole,primary
403,1150000.0,3,86.0,Krzyki,secondary
404,619000.0,2,47.8,Fabryczna,secondary
405,670000.0,2,49.5,Fabryczna,secondary
406,780445.0,3,55.5,Stare Miasto,primary
407,778300.0,3,56.79,Stare Miasto,primary
408,1199000.0,4,100.36,Fabryczna,primary
409,771791.0,3,72.13,Krzyki,primary
410,626140.0,3,52.8,Fabryczna,primary
411,529000.0,2,47.0,Krzyki,secondary
412,709900.0,3,80.51,Fabryczna,primary
413,869860.0,4,71.3,Śródmieście,primary
414,968368.0,3,83.48,Krzyki,primary
415,994320.0,4,82.86,Krzyki,primary
416,889772.0,4,84.37,Stare Miasto,primary
417,661711.0,3,61.9,Krzyki,primary
418,749000.0,2,63.0,Krzyki,secondary
419,579000.0,2,43.91,Psie Pole,primary
420,813530.0,4,68.21,Fabryczna,primary
421,429000.0,1,32.0,Krzyki,secondary
422,690000.0,3,75.79,Krzyki,secondary
423,876000.0,4,75.0,Śródmieście,primary
424,689000.0,3,56.39,Psie Pole,primary
425,357816.0,2,35.08,Krzyki,primary
426,595000.0,2,47.9,Fabryczna,primary
427,556330.0,2,43.84,Krzyki,primary
428,855000.0,4,88.0,Krzyki,secondary
429,599000.0,3,47.2,Fabryczna,secondary
430,599044.0,3,48.31,Psie Pole,primary
431,630000.0,3,65.6,Psie Pole,primary
432,540000.0,2,48.5,Krzyki,primary
433,630000.0,3,51.7,Fabryczna,secondary
434,498000.0,2,46.11,Fabryczna,secondary
435,599000.0,1,44.33,Krzyki,secondary
436,699000.0,4,82.77,Fabryczna,primary
437,947055.0,3,59.75,Śródmieście,primary
438,578000.0,2,42.4,Krzyki,primary
439,488790.0,1,36.67,Psie Pole,primary
440,850000.0,5,85.2,Krzyki,secondary
441,610609.0,3,59.34,Krzyki,primary
442,619000.0,2,40.0,Psie Pole,secondary
443,495000.0,2,68.3,Śródmieście,secondary
444,699000.0,3,60.2,Krzyki,secondary
445,946400.0,4,96.3,Krzyki,primary
446,799000.0,3,61.0,Fabryczna,secondary
447,659000.0,3,50.8,Psie Pole,primary
448,541950.0,2,43.1,Fabryczna,primary
449,702825.0,3,62.0,Krzyki,primary
450,590000.0,3,51.5,Psie Pole,primary
451,670000.0,3,56.0,Psie Pole,secondary
452,615000.0,3,72.5,Krzyki,secondary
453,786865.0,3,64.55,Psie Pole,primary
454,567688.0,2,46.57,Psie Pole,primary
455,1027035.0,4,78.74,Śródmieście,primary
456,530000.0,3,54.0,Śródmieście,secondary
457,360000.0,2,43.57,Fabryczna,secondary
458,666000.0,2,56.0,Śródmieście,secondary
459,639000.0,3,53.0,Psie Pole,primary
460,450363.0,2,36.82,Psie Pole,primary
461,580000.0,2,42.0,Krzyki,secondary
462,670000.0,3,66.5,Psie Pole,primary
463,501402.0,2,35.31,Krzyki,primary
464,589000.0,3,47.5,Stare Miasto,secondary
465,580000.0,2,43.0,Krzyki,secondary
466,599000.0,2,65.0,Stare Miasto,secondary
467,764060.0,3,66.44,Krzyki,primary
468,649000.0,3,64.0,Krzyki,secondary
469,960000.0,3,67.0,Krzyki,primary
470,629000.0,3,67.23,Krzyki,primary
471,538000.0,3,53.9,Stare Miasto,secondary
472,750000.0,5,85.0,Krzyki,secondary
473,650000.0,3,68.5,Stare Miasto,secondary
474,479000.0,2,40.0,Krzyki,secondary
475,666390.0,3,61.76,Krzyki,primary
476,529000.0,2,42.54,Psie Pole,primary
477,889000.0,4,77.05,Psie Pole,primary
478,514143.0,2,43.1,Krzyki,primary
479,1100000.0,3,72.7,Śródmieście,secondary
480,798004.0,3,64.9,Stare Miasto,secondary
481,399000.0,2,31.42,Krzyki,secondary
482,570000.0,3,60.66,Śródmieście,secondary
483,516250.0,2,41.3,Psie Pole,secondary
484,848000.0,4,62.65,Fabryczna,secondary
485,518272.0,2,40.49,Psie Pole,primary
486,569000.0,3,41.09,Psie Pole,secondary
487,999999.0,5,84.0,Fabryczna,primary
488,650000.0,2,52.0,Śródmieście,secondary
489,648888.0,3,56.92,Psie Pole,primary
490,845000.0,2,95.44,Stare Miasto,secondary
491,509000.0,2,50.5,Krzyki,secondary
492,499700.0,2,60.88,Stare Miasto,secondary
493,596445.0,3,51.91,Psie Pole,primary
494,480000.0,2,38.09,Psie Pole,secondary
495,773847.0,3,89.29,Krzyki,primary
496,798327.0,4,74.61,Krzyki,primary
497,599000.0,3,61.12,Stare Miasto,secondary
498,757000.0,2,36.0,Stare Miasto,secondary
499,865000.0,3,67.0,Krzyki,secondary
500,662000.0,2,49.9,Stare Miasto,primary
501,750000.0,3,49.85,Śródmieście,secondary
502,950946.0,2,53.92,Stare Miasto,primary
503,780670.0,3,66.44,Krzyki,primary
504,535000.0,3,51.7,Psie Pole,primary
505,712480.0,2,46.72,Śródmieście,primary
506,651786.0,4,70.16,Psie Pole,primary
507,659209.0,1,50.13,Fabryczna,primary
508,839948.0,3,70.9,Stare Miasto,primary
509,985600.0,2,60.02,Śródmieście,primary
510,1190000.0,5,80.0,Psie Pole,primary
511,836879.0,3,63.41,Śródmieście,primary
512,845010.0,3,68.7,Fabryczna,primary
513,550000.0,3,76.4,Śródmieście,secondary
514,864000.0,1,50.64,Stare Miasto,primary
515,659000.0,3,51.3,Psie Pole,primary
516,795693.0,3,55.34,Stare Miasto,primary
517,547000.0,2,48.0,Fabryczna,primary
518,435000.0,2,42.0,Fabryczna,secondary
519,945600.0,2,49.25,Psie Pole,primary
520,535001.0,2,49.0,Fabryczna,secondary
521,836880.0,3,63.4,Śródmieście,primary
522,872620.0,4,64.4,Krzyki,primary
523,589987.0,3,53.1,Fabryczna,primary
524,992200.0,4,65.6,Stare Miasto,primary
525,569998.0,3,48.5,Stare Miasto,secondary
526,630000.0,3,75.0,Psie Pole,secondary
527,840000.0,2,52.08,Krzyki,secondary
528,1170000.0,4,88.0,Stare Miasto,primary
529,541598.0,3,51.63,Psie Pole,primary
530,755000.0,1,47.42,Śródmieście,secondary
531,699600.0,2,53.0,Śródmieście,primary
532,620000.0,2,62.4,Stare Miasto,secondary
533,1100000.0,3,58.0,Krzyki,secondary
